,name,market,sectorCode,sectorName,industryCode,industryName,tradingDate,marketCap,close,volume,amount,returnOn1Day,returnOn1Week,returnOn1Month,returnOn3Months,returnOn6Months,returnOn1Year,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyTwoWeekHighPct,fiftyTwoWeekLowPct,shares,sharesOutstanding,sharesPreferred,sharesFloating,sharesFloatingRate,foreignSharesHolding,foreignRate,foreignSharesLimit,foreignRateByLimit,numbersDate,trailingRevenue,trailingProfit,trailingNetProfit,trailingProfitRate,trailingEps,trailingPs,trailingPe,trailingPeg,yoyRevenue,yoyProfit,yoyNetProfit,yoyProfitRate,yoyEps,fiscalMonth,ifrsType,fiscalRevenue,fiscalRevenueGrowth,fiscalProfit,fiscalProfitGrowth,fiscalProfitRate,fiscalProfitRateGrowth,fiscalNetProfit,fiscalNetProfitGrowth,fiscalAsset,fiscalAssetGrowth,fiscalCapital,fiscalDebt,fiscalDebtGrowth,fiscalDebtRatio,fiscalRetentionRate,fiscalDividendYield,fiscalPayoutRatio,fiscalPayoutRatioGrowth,returnOnAsset,returnOnEquity,fiscalEps,fiscalEpsGrowth,fiscalPe,fiscalPriceToBook,fiscalDps,fiscalDpsGrowth,estimation,estimatedMonth,targetPrice,targetPricePct,nOfEstimations,estimatedRevenue,estimatedRevenueGrowth,estimatedProfit,estimatedProfitRate,estimatedProfitGrowth,estimatedProfitRateGrowth,estimatedNetProfit,estimatedNetProfitGrowth,estimatedAsset,estimatedAssetGrowth,estimatedDebt,estimatedDebtGrowth,estimatedEps,estimatedEpsGrowth,estimatedPe,forwardEps,forwardPe,forwardPeg,estimatedDps,estimatedDpsGrowth,estimatedPayoutRatio,estimatedPayoutRatioGrowth,wicsDate,groupByMarketCap,industryNameKrx,industryPe,products,ipo,beta
031210,서울보증보험,kospi,G40,금융,WI520,보험,20260825,2942980355700,42300,44697,1898879125,-1.05,-4.51,-1.17,-5.79,-28.55,-0.35,62000,39550,-31.77,6.95,69821598,69821598,0,13278609,19.02,4892806,7.01,69821598,7.01,20260610,22220,3756,2684,16.9,3844.0,1.32,11.0,0.23,5.75,65.52,47.28,56.55,46.96,2025/12,D,22220,4.3,3757,34.32,16.91,28.79,2684,25.83,94087,0.8,51952,42136,1.33,81.11,2873.24,5.76,74.53,-20.53,2.86,5.18,3842.79,25.95,11.45,0.59,2865.0,0.0,,2026/12(E),,,,,,,,nan,nan,,nan,,,,,,nan,,,,,,,,,20260821,,보험업,14.14,"보증보험, 신용보험 등",20250314,0.375
302440,SK바이오사이언스,kospi,G35,건강관리,WI410,건강관리,20260825,2930352254550,37550,87864,3265330575,-1.96,2.88,9.32,-11.23,-24.9,-21.93,60100,37350,-37.52,0.54,78456553,78456553,0,25639230,32.68,4665501,5.95,78456553,5.95,20260610,6655,-1529,-883,-22.98,-1062.0,4.4,-35.36,,9.06,적자지속,적자지속,적자지속,적자지속,2025/12,D,6514,143.51,-1235,적자지속,-18.96,적자지속,-562,적자지속,29557,3.94,20375,9183,11.84,45.07,4461.25,,,,-1.94,-3.2,,적자지속,,1.69,,,3.3,2026/12(E),49000.0,-23.37,3.0,7392,13.48,-1295,-17.52,적자지속,적자지속,-783,적자지속,30150,2.01,10343,12.63,-1020.0,적자지속,-36.81,,,,,,,,20260821,kosdaq150,기초 의약물질 제조업,36.45,백신 제품 및 제제,20210318,0.507
214370,케어젠,kosdaq,G35,건강관리,WI410,건강관리,20260825,2900610000000,54200,68703,3614640650,0.0,-2.17,-4.41,-40.11,-62.72,7.54,150100,30250,-63.89,79.17,53715000,53715000,0,14232781,26.5,2378573,4.43,53715000,4.43,20260610,742,204,234,27.49,435.0,39.09,124.6,3.21,6.57,0.0,39.29,-6.18,38.85,2025/12,D,728,-11.86,204,-40.52,28.02,-32.53,201,-37.77,2313,-3.91,2125,188,6.21,8.85,5200.45,0.61,116.78,9.72,8.52,9.23,374.17,-37.87,194.03,13.7,437.0,-31.72,,2026/12(E),,,,,,,,nan,nan,,nan,,,,,,nan,,,,,,,,,20260821,kospi200,기초 의약물질 제조업,,"성장인자, 바이오미메틱펩타이드 기반 안면, 두피, 바디 코스메슈티컬 제품",20151117,1.09
483650,달바글로벌,kospi,G25,경기관련소비재,WI310,"화장품,의류",20260825,2898588280000,233000,103136,23904628000,0.22,5.91,-3.12,9.39,36.98,26.01,260000,121200,-10.38,92.24,12493915,12469165,0,9067920,72.72,5128793,41.06,12493915,41.06,20260610,5772,1165,906,20.18,7412.0,5.02,31.44,0.88,50.44,49.83,46.96,-0.42,35.8,2025/12,D,5197,68.13,1015,69.73,19.53,0.93,791,413.64,2553,87.58,1986,568,67.06,28.6,15921.96,1.78,41.19,81.37,40.39,52.59,6601.31,362.58,30.6,12.61,2629.0,761.97,4.0,2026/12(E),286455.0,-18.66,12.0,7467,43.68,1615,21.63,59.11,10.75,1275,61.19,3682,44.22,786,38.38,10216.0,54.76,22.81,11938.53,19.52,0.12,2847.0,8.29,27.67,-32.82,20260821,kosdaq150,기타 화학제품 제조업,,"기초 화장품, 건강기능식품 등",20250522,0.49
017800,현대엘리베이터,kospi,G20,산업재,WI230,기계,20260825,2896745728500,74500,80024,5904585250,1.36,0.27,7.19,-11.63,-33.3,-8.25,111700,71200,-33.3,4.63,39092385,39092385,0,25397553,64.97,8653881,22.14,39092385,22.14,20260610,24188,2014,2614,8.33,6507.0,1.2,11.45,-0.53,-8.18,-16.32,-22.35,-8.85,-21.51,2025/12,D,24674,-14.48,2092,-7.31,8.48,8.44,2693,38.89,37231,4.18,14443,22787,2.12,157.77,597.77,15.87,203.37,83.41,7.38,20.1,6704.85,43.04,11.35,2.01,14010.0,154.73,4.0,2026/12(E),120000.0,-37.92,1.0,26478,7.31,2307,8.71,10.28,2.71,2141,-20.5,35250,-5.32,23900,4.88,5129.0,-23.48,14.53,5393.34,13.81,-0.02,4000.0,-71.45,73.04,-64.09,20260821,kosdaq150,일반 목적용 기계 제조업,82.27,"엘리베이터,에스컬레이터,공항,공정,크린룸,병원 물류시스템,수,배송센터,고속소팅시스템,주차설비 제조,판매,보수",19960703,0.426
007340,DN오토모티브,kospi,G25,경기관련소비재,WI300,자동차,20260825,2834851409250,48550,192689,9325998425,1.57,-22.69,24.81,3.74,54.62,91.9,51200,21550,-5.18,125.29,58510865,58510865,0,21240705,36.3,3614161,6.18,58510865,6.18,20260610,38146,5349,3374,14.02,4991.0,0.74,9.73,0.69,15.82,5.01,14.29,-9.32,14.01,2025/12,D,36757,7.02,5279,0.96,14.36,-5.65,3250,2.14,52757,5.39,24497,28260,-0.33,115.36,33471.66,4.1,18.0,-3.02,6.32,15.02,4806.06,-10.66,8.25,1.14,1000.0,0.0,4.0,2026/12(E),50000.0,-2.9,1.0,44311,20.55,5443,12.28,3.11,-14.48,3241,-0.28,55546,5.29,28033,-0.8,4985.0,3.66,9.74,5648.15,8.6,0.01,1300.0,30.0,23.47,30.39,20260821,kosdaq150,일차전지 및 이차전지 제조업,42.27,자동차용 밧데리,19880924,0.448
097950,CJ제일제당,kospi,G30,필수소비재,WI400,필수소비재,20260825,2819649037800,187100,67846,12686232650,-1.32,2.02,-3.61,-11.33,-15.72,-18.65,269500,187100,-30.58,0.0,15054186,15054186,1327433,7820599,51.95,1952615,12.97,15054186,12.97,20260610,277477,11840,-3506,4.27,-30722.0,0.1,-6.09,-0.01,6.04,-17.21,123.93,-21.91,499.64,2025/12,D,273426,0.38,12336,-15.05,4.51,-15.38,-4170,적자전환,297448,-1.29,115512,181936,1.6,157.5,8640.16,2.88,26.11,76.42,-1.39,-7.67,,적자전환,,0.45,6000.0,0.0,4.0,2026/12(E),295455.0,-36.67,13.0,285153,4.29,12957,4.54,5.03,0.67,5619,흑자전환,303594,2.07,183704,0.97,24059.0,흑자전환,7.78,26404.34,7.09,-0.13,6355.0,5.92,17.03,,20260821,kosdaq150,기타 식품 제조업,42.52,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",20070928,0.222
023530,롯데쇼핑,kospi,G25,경기관련소비재,WI340,소매(유통),20260825,2797757869500,98900,120484,11724106750,2.81,-3.98,-21.45,-37.6,-12.94,48.95,195500,64100,-49.41,54.29,28288755,28288755,0,11246527,39.76,4382651,15.49,28288755,15.49,20260610,138632,6517,1994,4.7,5782.0,0.2,17.1,0.02,3.61,70.65,695.03,64.57,692.31,2025/12,D,137384,-1.77,5470,15.62,3.98,17.75,736,흑자전환,379103,-2.8,168662,210441,-4.21,124.77,10638.42,5.52,153.74,,0.19,0.34,1822.5,흑자전환,107.27,0.36,4000.0,5.26,4.0,2026/12(E),201667.0,-50.96,15.0,143024,4.11,7930,5.54,44.97,39.2,3843,422.15,383089,1.05,211169,0.35,12683.0,596.1,7.8,13700.07,7.22,0.1,4382.0,9.55,32.26,-79.02,20260821,kosdaq150,종합 소매업,23.66,"백화점(의류,식품 및 잡화),할인점 운영/전자상거래",20060209,0.391
336260,두산퓨얼셀,kospi,G10,에너지,WI100,에너지,20260825,2767109923500,42350,828975,33534536575,8.17,16.99,-1.05,-57.57,17.31,55.13,101500,18550,-58.28,128.3,65493726,65493726,16350500,40325303,61.57,11216322,17.12,65493726,17.12,20260610,4999,-954,-1359,-19.08,-1661.0,5.54,-25.5,,45.24,적자지속,적자지속,적자지속,적자지속,2025/12,D,4548,10.44,-1057,적자지속,-23.24,적자지속,-1328,적자지속,11984,1.59,3675,8309,22.05,226.12,4392.1,,,,-11.17,-30.66,,적자지속,,16.01,,,3.8,2026/12(E),77500.0,-45.35,6.0,5757,26.58,-266,-4.62,적자지속,적자지속,-426,적자지속,12877,7.45,9626,15.85,-521.0,적자지속,-81.29,,,,,,,,20260821,,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",42.27,연료전지,20191018,1.129
139130,iM금융지주,kospi,G40,금융,WI500,은행,20260825,2766608737760,17550,310324,5421184575,2.57,0.98,-3.84,-6.6,-17.61,25.27,21650,11490,-18.94,52.74,158363408,160624583,0,136557756,85.02,71985850,45.47,158363408,45.47,20260610,37724,5681,4571,15.06,2721.0,0.73,6.45,1.38,-3.3,-7.27,-0.32,-4.09,4.68,2025/12,D,38044,-8.87,5832,121.41,15.33,142.95,4575,126.93,988607,5.0,64368,924239,5.1,1435.88,635.48,4.5,24.58,-41.41,0.47,7.27,2694.7,112.28,6.42,0.45,700.0,40.0,3.9,2026/12(E),24006.0,-26.89,17.0,38785,1.95,6665,17.18,14.28,12.07,5088,11.21,1067071,7.94,999861,8.18,3073.0,13.98,5.71,3151.18,5.57,0.01,753.0,7.57,23.77,-3.3,20260821,kosdaq150,기타 금융업,12.89,지주회사,20110607,0.431
131290,티에스이,kosdaq,G45,IT,WI620,반도체,20260825,2743234392000,249000,91869,22284348000,1.43,-7.43,22.96,9.45,180.41,565.78,249000,36400,0.0,584.07,11061429,11061429,0,4282276,38.71,1209839,10.94,11061429,10.94,20260610,4966,881,783,17.74,6513.0,5.52,38.23,0.04,81.57,1254.84,2122.22,647.18,1087.9,2025/12,D,4289,23.21,492,23.31,11.47,0.09,400,-11.11,6080,17.06,4646,1435,19.88,30.88,6975.06,0.78,12.44,26.55,7.1,10.42,3456.03,-10.0,60.04,5.87,450.0,12.5,4.0,2026/12(E),285000.0,-12.63,2.0,5720,33.36,1505,26.31,205.89,129.38,1294,223.5,7315,20.31,1498,4.39,10794.0,212.33,23.07,12285.38,20.27,0.18,750.0,66.67,6.41,-48.47,20260821,kospi200,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",400.47,"Probe Card, Test Interface Board, OLED Test Equipment, Test Socket",20110105,0.841
004370,농심,kospi,G30,필수소비재,WI400,필수소비재,20260825,2737188900000,451000,28052,12670478000,-0.99,7.38,22.72,14.9,-1.42,13.75,522000,361500,-13.6,24.76,6082642,6082642,0,3091459,50.82,1530245,25.16,6082642,25.16,20260610,35553,1954,1786,5.5,29364.0,0.77,15.36,0.95,4.59,20.14,16.28,14.97,16.25,2025/12,D,35143,2.2,1839,12.75,5.23,10.34,1701,7.93,38221,6.24,28312,9909,7.14,35.0,9427.42,1.39,21.46,11.19,4.58,6.18,27970.68,8.16,12.96,0.76,6000.0,20.0,3.9,2026/12(E),543333.0,-16.99,13.0,36973,5.21,2126,5.75,15.61,9.94,1898,11.58,39946,4.51,10140,2.33,31295.0,11.89,14.41,32337.2,13.95,0.01,6000.0,0.0,19.23,-10.39,20260821,kosdaq150,기타 식품 제조업,42.52,"라면,스낵,유지 제조,도매,수출입",19760630,0.27
